Address,Percent cyclization,Smiles
R7C3,100,CC[C@H](C)[C@@H](C(NCC(O[n]1nnc2cccnc12)=O)=O)NC([C@H](C)N(C)C([C@@H](C)NC([C@H](Cc1c[n](C(OC(C)(C)C)=O)c2c1cccc2)NC([C@@H](C)N)=O)=O)=O)=O
R5C3,76.00767754,C[C@H](C(N[C@H](Cc1ccccc1)C(N[C@H](C)C(N(C)[C@@H](C)C(N[C@H](C)C(N(C)[C@@H](CC(O[n]1nnc2cccnc12)=O)C(NC(C)c1ccccc1)=O)=O)=O)=O)=O)=O)N
R1C3,94.07364787,CC(C)C[C@H](C(N[C@@H](CC(O[n]1nnc2cccnc12)=O)C(NC(C)c1ccccc1)=O)=O)NC([C@H](C)N(C)C([C@@H](C)NC([C@@H](Cc1ccccc1)NC([C@@H](C)N)=O)=O)=O)=O
R7C8,100,CC[C@H](C)[C@@H](C(NCC(O[n]1nnc2cccnc12)=O)=O)NC([C@@H](C)N(C)C([C@H](C)NC([C@H](Cc1c[n](C(OC(C)(C)C)=O)c2c1cccc2)NC([C@H](CC(C)C)N)=O)=O)=O)=O
R7C4,100,CC[C@H](C)[C@@H](C(NCC(O[n]1nnc2cccnc12)=O)=O)NC([C@@H](C(C)C)N(C)C(CNC([C@H](Cc1c[n](C(OC(C)(C)C)=O)c2c1cccc2)NC([C@H](C(C)C)N)=O)=O)=O)=O
R6C3,57.08382527,CC(C)C[C@@H](C(N[C@@H](CCC(O[n]1nnc2cccnc12)=O)C(NC(C)c1ccccc1)=O)=O)NC([C@H](C)N(C)C([C@@H](C)NC([C@H](Cc1ccccc1)NC([C@@H](C)N)=O)=O)=O)=O
R5C4,95.1437343,CC(C)[C@@H](C(N[C@H](Cc1ccccc1)C(NCC(N(C)[C@H](C(C)C)C(N[C@H](C)C(N(C)[C@@H](CC(O[n]1nnc2cccnc12)=O)C(NC(C)c1ccccc1)=O)=O)=O)=O)=O)=O)N
R5C8,96.5455391,CC(C)C[C@@H](C(N[C@H](Cc1ccccc1)C(N[C@@H](C)C(N(C)[C@H](C)C(N[C@H](C)C(N(C)[C@@H](CC(O[n]1nnc2cccnc12)=O)C(NC(C)c1ccccc1)=O)=O)=O)=O)=O)=O)N
R7C6,98.55474693,CC[C@H](C)[C@@H](C(NCC(O[n]1nnc2cccnc12)=O)=O)NC(CN(C)C([C@@H](CCC(OCC=C)=O)NC([C@H](Cc1c[n](C(OC(C)(C)C)=O)c2c1cccc2)NC(CN)=O)=O)=O)=O
R5C6,100,C[C@H](C(N(C)[C@@H](CC(O[n]1nnc2cccnc12)=O)C(NC(C)c1ccccc1)=O)=O)NC(CN(C)C([C@@H](CCC(OCC=C)=O)NC([C@@H](Cc1ccccc1)NC(CN)=O)=O)=O)=O
R1C8,98.92889699,CC(C)C[C@@H](C(N[C@H](Cc1ccccc1)C(N[C@@H](C)C(N(C)[C@H](C)C(N[C@H](CC(C)C)C(N[C@@H](CC(O[n]1nnc2cccnc12)=O)C(NC(C)c1ccccc1)=O)=O)=O)=O)=O)=O)N
R1C4,93.19798119,CC(C)C[C@H](C(N[C@@H](CC(O[n]1nnc2cccnc12)=O)C(NC(C)c1ccccc1)=O)=O)NC([C@@H](C(C)C)N(C)C(CNC([C@@H](Cc1ccccc1)NC([C@H](C(C)C)N)=O)=O)=O)=O
R7C1,100,CC[C@H](C)[C@@H](C(NCC(O[n]1nnc2cccnc12)=O)=O)NC(C(C)(C)NC([C@@H](CC(C)C)NC([C@H](Cc1c[n](C(OC(C)(C)C)=O)c2c1cccc2)NC([C@@H](CC(C)C)N)=O)=O)=O)=O
R6C8,69.65542455,CC(C)C[C@@H](C(N[C@@H](Cc1ccccc1)C(N[C@@H](C)C(N(C)[C@H](C)C(N[C@@H](CC(C)C)C(N[C@@H](CCC(O[n]1nnc2cccnc12)=O)C(NC(C)c1ccccc1)=O)=O)=O)=O)=O)=O)N
R5C1,92.54807692,CC(C)C[C@H](C(N[C@H](Cc1ccccc1)C(N[C@H](CC(C)C)C(NC(C)(C)C(N[C@H](C)C(N(C)[C@@H](CC(O[n]1nnc2cccnc12)=O)C(NC(C)c1ccccc1)=O)=O)=O)=O)=O)=O)N
R6C4,57.6475657,CC(C)C[C@@H](C(N[C@@H](CCC(O[n]1nnc2cccnc12)=O)C(NC(C)c1ccccc1)=O)=O)NC([C@@H](C(C)C)N(C)C(CNC([C@H](Cc1ccccc1)NC([C@H](C(C)C)N)=O)=O)=O)=O
R7C5,100,CC[C@H](C)[C@@H](C(NCC(O[n]1nnc2cccnc12)=O)=O)NC([C@H](C(C)C)N(C)C(CNC([C@H](Cc1c[n](C(OC(C)(C)C)=O)c2c1cccc2)NC([C@@H](CC(OCC=C)=O)N)=O)=O)=O)=O
R5C5,90.44409199,CC(C)[C@@H](C(N[C@H](C)C(N(C)[C@@H](CC(O[n]1nnc2cccnc12)=O)C(NC(C)c1ccccc1)=O)=O)=O)N(C)C(CNC([C@@H](Cc1ccccc1)NC([C@@H](CC(OCC=C)=O)N)=O)=O)=O
R1C6,100,CC(C)C[C@H](C(N[C@@H](CC(O[n]1nnc2cccnc12)=O)C(NC(C)c1ccccc1)=O)=O)NC(CN(C)C([C@@H](CCC(OCC=C)=O)NC([C@@H](Cc1ccccc1)NC(CN)=O)=O)=O)=O
R6C6,60.95432749,CC(C)C[C@@H](C(N[C@@H](CCC(O[n]1nnc2cccnc12)=O)C(NC(C)c1ccccc1)=O)=O)NC(CN(C)C([C@@H](CCC(OCC=C)=O)NC([C@H](Cc1ccccc1)NC(CN)=O)=O)=O)=O
R1C1,90.65030034,CC(C)C[C@H](C(N[C@H](Cc1ccccc1)C(N[C@H](CC(C)C)C(NC(C)(C)C(N[C@H](CC(C)C)C(N[C@@H](CC(O[n]1nnc2cccnc12)=O)C(NC(C)c1ccccc1)=O)=O)=O)=O)=O)=O)N
R1C5,100,CC(C)C[C@H](C(N[C@@H](CC(O[n]1nnc2cccnc12)=O)C(NC(C)c1ccccc1)=O)=O)NC([C@H](C(C)C)N(C)C(CNC([C@@H](Cc1ccccc1)NC([C@@H](CC(OCC=C)=O)N)=O)=O)=O)=O
