Feature,current_range,importance,least_optimal_range,mean_target_in_least_optimal_range,mean_target_in_optimal_range,optimal_range
Feature_14_side_chain_2_property_MolLogP,"[-0.536009999999998, 4.866880000000002]",0.01606423036690036,"[-0.536009999999998, 0.7871467346938795]",4.922255239220834,4.987793014230219,"[3.543723265306125, 4.866880000000002]"
Feature_11_side_chain_2_property_Radius,"[2.6499937578969504, 5.420866019356476]",0.016046840561378346,"[2.6499937578969504, 3.328574719887038]",4.94865341800876,4.982228082899306,"[4.742285057366388, 5.420866019356476]"
Feature_76_distance_hydrogen_4_to_oxygen_1,"[2.158148254960294, 10.06576240628788]",0.01423462019736958,"[2.158148254960294, 4.0947068226323555]",4.919069449331872,5.004065157742591,"[8.129203838615817, 10.06576240628788]"
Feature_21_side_chain_3_property_Radius,"[2.810461275541269, 5.724350044990454]",0.011961812480914139,"[2.810461275541269, 3.5240666884676]",4.953539985838299,4.979859362753901,"[5.010744632064123, 5.724350044990454]"
Feature_80_distance_hydrogen_4_to_oxygen_5,"[2.0566666386917114, 4.307607800574312]",0.011711799047282312,"[3.7563569037867364, 4.307607800574312]",4.951173494191132,4.971079925018548,"[2.0566666386917114, 2.607917535479287]"
Feature_3_side_chain_1_property_Kappa1,"[4.022160664819938, 52.23547759540317]",0.011320720112689654,"[4.022160664819938, 15.829503586595422]",4.965616672529493,5.37775851471306,"[40.42813467362768, 52.23547759540317]"
Feature_13_side_chain_2_property_Kappa1,"[3.1495838183916502, 25.051160024134305]",0.00984677045025237,"[19.687508708442227, 25.051160024134305]",4.821072005687113,4.983917155802956,"[3.1495838183916502, 8.513235134083729]"
Feature_33_side_chain_4_property_Kappa1,"[3.753576446523476, 22.35282682270175]",0.009186467959925556,"[17.79790836322952, 22.35282682270175]",4.860140659572988,4.989158464744367,"[3.753576446523476, 8.308494905995707]"
Feature_4_side_chain_1_property_MolLogP,"[-1.3250999999999988, 6.194200000000005]",0.008540445511800365,"[4.3527387755102085, 6.194200000000005]",4.9318679235896195,4.980359196276651,"[-1.3250999999999988, 0.5163612244897982]"
Feature_78_distance_hydrogen_4_to_oxygen_3,"[1.8179168295128667, 5.907195745482314]",0.008442627378875262,"[1.8179168295128667, 2.819372890566609]",4.9557529061649035,4.981822243940932,"[4.905739684428571, 5.907195745482314]"
Feature_43_side_chain_5_property_Kappa1,"[4.1384116666539805, 23.6]",0.007849829795628307,"[18.83389673469077, 23.6]",4.876640978179166,4.991998034727451,"[4.1384116666539805, 8.90451493196321]"
Feature_60_side_chain_6_property_NumRotatableBonds,"[0.0, 7.999999999999998]",0.007753462132474668,"[0.0, 1.9591836734693873]",4.95472773885224,5.001564979489229,"[6.040816326530611, 7.999999999999998]"
Feature_17_side_chain_2_property_Asphericity,"[0.100865181495279, 0.736829836320507]",0.007165063359409687,"[0.100865181495279, 0.25661162757492667]",4.962287694030132,4.965728487922135,"[0.5810833902408593, 0.736829836320507]"
Feature_77_distance_hydrogen_4_to_oxygen_2,"[1.793481898281062, 8.299149653569534]",0.0068050563666501845,"[6.705924897172357, 8.299149653569534]",4.94730386976534,4.980733321270753,"[1.793481898281062, 3.386706654678239]"
Feature_53_side_chain_6_property_Kappa1,"[3.38809210768529, 28.22873918561152]",0.006416537564892311,"[22.145315411425504, 28.22873918561152]",4.8720724247714235,4.992428852712947,"[3.38809210768529, 9.471515881871307]"
Feature_23_side_chain_3_property_Kappa1,"[3.83062998655952, 57.55745286451043]",0.0058473472265618874,"[3.83062998655952, 16.988219262792395]",4.95213060082063,5.189352996405377,"[44.399863588277555, 57.55745286451043]"
Feature_51_side_chain_6_property_Radius,"[2.666740491509905, 4.787363293537549]",0.005706659917951088,"[4.268027097122616, 4.787363293537549]",4.959200555131203,4.9683385532206055,"[2.666740491509905, 3.1860766879248383]"
Feature_70_distance_hydrogen_2_to_oxygen_5,"[2.0336216005840337, 9.754932366907417]",0.005665408226393942,"[2.0336216005840337, 3.924554849479556]",4.948295489560961,4.98132695831118,"[7.863999118011895, 9.754932366907417]"
Feature_24_side_chain_3_property_MolLogP,"[-1.0041199999999972, 6.071200000000019]",0.00559723634740156,"[4.338468571428585, 6.071200000000019]",4.953474775297082,4.983378506238294,"[-1.0041199999999972, 0.7286114285714351]"
Feature_64_distance_hydrogen_1_to_oxygen_4,"[-1.0, 10.256933257565208]",0.005471781477598256,"[7.500133276120668, 10.256933257565208]",4.91412591291288,4.960636784730273,"[-1.0, 1.7567999814445407]"
Feature_84_distance_hydrogen_5_to_oxygen_4,"[-1.0, 5.052685563823902]",0.004749151071082106,"[3.570395221662946, 5.052685563823902]",4.942021352388621,4.9637268497508495,"[-1.0, 0.48229034216095545]"
Feature_83_distance_hydrogen_5_to_oxygen_3,"[-1.0, 6.420558537648319]",0.004321957017494882,"[4.6032788957752615, 6.420558537648319]",4.940405567350478,4.964622697895053,"[-1.0, 0.8172796418730579]"
Feature_41_side_chain_5_property_Radius,"[2.9619047087618062, 5.52996586463236]",0.004318904717237852,"[2.9619047087618062, 3.59081764489337]",4.96104454727182,4.969419543665475,"[4.901052928500796, 5.52996586463236]"
Feature_65_distance_hydrogen_1_to_oxygen_5,"[-1.0, 9.301363618688582]",0.0038681688578910065,"[6.778580691662807, 9.301363618688582]",4.931369715688318,4.961458579278399,"[-1.0, 1.5227829270257751]"
Feature_75_distance_hydrogen_3_to_oxygen_5,"[-1.0, 4.443788019172347]",0.003644400628176596,"[-1.0, 0.33317257612384]",4.965454986598227,4.9804357161010655,"[3.1106154430485073, 4.443788019172347]"
Feature_50_side_chain_5_property_NumRotatableBonds,"[0.0, 9.000000000000012]",0.003627428191996662,"[6.795918367346949, 9.000000000000012]",4.95252373695976,4.977175442835982,"[0.0, 2.2040816326530646]"
Feature_30_side_chain_3_property_NumRotatableBonds,"[0.0, 9.999999999999996]",0.0036231767602855594,"[0.0, 2.448979591836734]",4.945857772558234,4.9732164542175346,"[7.551020408163263, 9.999999999999996]"
Feature_10_side_chain_1_property_NumRotatableBonds,"[0.0, 8.999999999999979]",0.0035752881529093473,"[6.795918367346923, 8.999999999999979]",4.947211635991499,4.971509002418413,"[0.0, 2.204081632653056]"
Feature_47_side_chain_5_property_Asphericity,"[0.0235454123380974, 0.6415051989246542]",0.0035545650503585285,"[0.0235454123380974, 0.17488250293072355]",4.963015437094777,4.964674077821661,"[0.49016810833202806, 0.6415051989246542]"
Feature_40_side_chain_4_property_NumRotatableBonds,"[0.0, 7.999999999999998]",0.0035266601986913733,"[0.0, 1.9591836734693873]",4.95664691919753,4.977950825703909,"[6.040816326530611, 7.999999999999998]"
Feature_71_distance_hydrogen_3_to_oxygen_1,"[-1.0, 5.772900200290625]",0.0033113541998099154,"[-1.0, 0.6586694368058672]",4.9658031009956005,4.982738130513062,"[4.114230763484757, 5.772900200290625]"
Feature_48_side_chain_5_property_SpherocityIndex,"[0.0761914059472578, 0.7840073270366816]",0.003211743500971561,"[0.6106646524841697, 0.7840073270366816]",4.962357390861933,4.964073981837942,"[0.0761914059472578, 0.24953408049976977]"
Feature_74_distance_hydrogen_3_to_oxygen_4,"[-1.0, 3.8322740984125487]",0.0031407962887961285,"[-1.0, 0.183414064917359]",4.964975002433501,4.9764353284850396,"[2.64886003349519, 3.8322740984125487]"
Feature_54_side_chain_6_property_MolLogP,"[0.24217999999999967, 6.333790000000001]",0.00308354936514457,"[0.24217999999999967, 1.7340028571428572]",4.957495796772629,4.971679467496785,"[4.841967142857144, 6.333790000000001]"
Feature_31_side_chain_4_property_Radius,"[2.669614899541456, 4.800663673762352]",0.002925419224385926,"[2.669614899541456, 3.1915043952690225]",4.961571583225261,4.966279048713665,"[4.278774178034785, 4.800663673762352]"
Feature_46_side_chain_5_property_Eccentricity,"[0.6179558479447765, 0.9901462444842781]",0.002911731340070098,"[0.6179558479447765, 0.7091045164850627]",4.962837056179833,4.963655374187117,"[0.8989975759439921, 0.9901462444842781]"
Feature_68_distance_hydrogen_2_to_oxygen_3,"[2.026973376050452, 4.315379732211085]",0.002675507392189077,"[3.754953685804399, 4.315379732211085]",4.960052555989169,4.964675780081473,"[2.026973376050452, 2.5873994224571373]"
Feature_7_side_chain_1_property_Asphericity,"[0.0257815362588078, 0.7704378531117918]",0.002368690859867928,"[0.0257815362588078, 0.2081463485493345]",4.9630989562729955,4.964430851020434,"[0.5880730408212651, 0.7704378531117918]"
Feature_9_side_chain_1_property_MolWt,"[137.1789999999999, 314.6019999999995]",0.0022951954303998883,"[271.1514693877547, 314.6019999999995]",4.79810506843693,5.1055980679750945,"[137.1789999999999, 180.6295306122447]"
Feature_18_side_chain_2_property_SpherocityIndex,"[0.0600929830705175, 0.6854254109628439]",0.0022579819844681863,"[0.5322827755606415, 0.6854254109628439]",4.962717849975988,4.963784046020681,"[0.0600929830705175, 0.2132356184727199]"
Feature_72_distance_hydrogen_3_to_oxygen_2,"[-1.0, 2.938165621620988]",0.002251658511673548,"[-1.0, -0.03555127633771715]",4.9643711132389825,4.9710669082035785,"[1.9737168979587056, 2.938165621620988]"
